date,account_value
2021-12-17 08:00:00,11799.400653025185
2021-12-18 08:00:00,11799.400653025185
2021-12-19 08:00:00,11797.040064718087
2021-12-20 08:00:00,11800.580947178732
2021-12-21 08:00:00,11800.580947178732
2021-12-22 08:00:00,11798.220358871637
2021-12-23 08:00:00,11798.220358871637
2021-12-24 08:00:00,11798.220358871637
2021-12-25 08:00:00,11797.040064718089
2021-12-26 08:00:00,11798.220358871638
2021-12-27 08:00:00,11797.04006471809
2021-12-28 08:00:00,11799.400653025186
2021-12-29 08:00:00,11800.580947178734
2021-12-30 08:00:00,11801.761241332284
2021-12-31 08:00:00,11800.580947178734
2022-01-01 08:00:00,11801.761241332284
2022-01-02 08:00:00,11801.761241332284
2022-01-03 08:00:00,11802.941535485832
2022-01-04 08:00:00,11801.761241332284
2022-01-05 08:00:00,11804.121829639382
2022-01-06 08:00:00,11805.30212379293
2022-01-07 08:00:00,11807.662712100026
2022-01-08 08:00:00,11802.941535485832
2022-01-09 08:00:00,11802.941535485832
2022-01-10 08:00:00,11801.761241332284
2022-01-11 08:00:00,11802.941535485832
2022-01-12 08:00:00,11800.580947178734
2022-01-13 08:00:00,11798.220358871638
2022-01-14 08:00:00,11799.400653025188
2022-01-15 08:00:00,11799.400653025188
2022-01-16 08:00:00,11799.400653025188
2022-01-17 08:00:00,11799.400653025188
2022-01-18 08:00:00,11800.580947178736
2022-01-19 08:00:00,11799.400653025188
2022-01-20 08:00:00,11800.580947178736
2022-01-21 08:00:00,11801.761241332286
2022-01-22 08:00:00,11800.580947178736
2022-01-23 08:00:00,11801.761241332286
2022-01-24 08:00:00,11800.580947178736
2022-01-25 08:00:00,11798.22035887164
2022-01-26 08:00:00,11799.40065302519
2022-01-27 08:00:00,11798.220358871642
2022-01-28 08:00:00,11801.761241332288
2022-01-29 08:00:00,11800.580947178738
2022-01-30 08:00:00,11799.40065302519
2022-01-31 08:00:00,11798.220358871642
2022-02-01 08:00:00,11798.220358871642
2022-02-02 08:00:00,11797.040064718094
2022-02-03 08:00:00,11800.58094717874
2022-02-04 08:00:00,11797.040064718094
2022-02-05 08:00:00,11795.859770564544
2022-02-06 08:00:00,11795.859770564544
2022-02-07 08:00:00,11795.859770564544
2022-02-08 08:00:00,11793.499182257448
2022-02-09 08:00:00,11793.499182257448
2022-02-10 08:00:00,11793.499182257448
2022-02-11 08:00:00,11794.679476410996
2022-02-12 08:00:00,11795.859770564544
2022-02-13 08:00:00,11795.859770564544
2022-02-14 08:00:00,11591.635850901353
2022-02-15 08:00:00,12376.869986433077
2022-02-16 08:00:00,12427.842082897578
2022-02-17 08:00:00,12186.707685784068
2022-02-18 08:00:00,11611.821125084887
2022-02-19 08:00:00,11297.344352918617
2022-02-20 08:00:00,11048.45875302857
2022-02-21 08:00:00,11047.353354453979
2022-02-22 08:00:00,11048.45875302857
2022-02-23 08:00:00,11049.564151603161
2022-02-24 08:00:00,11050.669550177752
2022-02-25 08:00:00,11049.564151603161
2022-02-26 08:00:00,11049.564151603161
2022-02-27 08:00:00,11048.458753028572
2022-02-28 08:00:00,11048.458753028572
2022-03-01 08:00:00,11050.66955017775
2022-03-02 08:00:00,11048.45875302857
2022-03-03 08:00:00,11049.564151603161
2022-03-04 08:00:00,11051.774948752342
2022-03-05 08:00:00,11051.774948752342
2022-03-06 08:00:00,11051.774948752342
2022-03-07 08:00:00,10875.649243791728
2022-03-08 08:00:00,11051.858391995655
2022-03-09 08:00:00,11504.952517043239
2022-03-10 08:00:00,10926.274605298302
2022-03-11 08:00:00,11053.106524327031
2022-03-12 08:00:00,10886.317923230548
2022-03-13 08:00:00,10825.353802178157
2022-03-14 08:00:00,10810.538448381514
2022-03-15 08:00:00,10713.386745112484
2022-03-16 08:00:00,11137.253927571093
2022-03-17 08:00:00,11384.433742035368
2022-03-18 08:00:00,11312.468354335635
